CVE_ENT,delito,resolucion,ubicacion,productos_servicios,detalles_adicionales
9,OMITIO,OMITIO,OMITIO, MODIFICACION PATRIMONIAL,OMITIO PRESENTAR DECLARACION DE MODIFICACION
9,OPERACION INDEBIDA DE RECURSOS,OPERACION INDEBIDA DE RECURSOS," LAS TITULARES DE LAS CUENTAS,",OPERACION INDEBIDA DE RECURSOS,OPERACION INDEBIDA DE RECURSOS
9,UTILIZ,UTILIZ LOS RECUROS, ESTADO LE OTORGA,UTILIZ LOS RECUROS,UTILIZ LOS RECUROS
9, ECONOMICA., SANCION ECONOMICA, TERCERA SALA REGIONAL METROPOLITANA," SERVICIO PUBLICO,"," CONSTANCIAS QUE OBRAN EN EL PRESENTE EXPEDIENTE,"
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
9,OMITIO REPORTAR QUE UN SUBORDINADO," BAJA CORRESPONDIENTE,"," TRAMITARA LA BAJA CORRESPONDIENTE,"," PAGOS POR CONCEPTO DE NOMINA,", INFORMACION CONTRADICTORIA
30,PRESUNTAMENTE NO EXUSARSE, NO APLICAR EL MISMO CRITERIO DE DESECHAMIENTO, HIJO., VIVIENDA, NO APLICAR EL MISMO CRITERIO DE DESECHAMIENTO
9,E;," OICF/00/639/399/2012 DEL VEINTIOCHO DE MAYO DE DOS MIL DOCE,", DOCE;, FONDO DE LA VIVIENDA," REA,S DE AUDITORA, DE RESPONSABILIDADES, Y QUEJAS."
14,NO ENTREG,"NO ENTREG $10,000,000.00", INSTITUTO JALISCIENSE DE LA VIVIENDA (IJALVI).,"NO ENTREG $10,000,000.00",NO ENTREG
14,DESTINO," $50,000,000.00", INSTITUTO JALISCIENSE DE LA VIVIENDA (IJALVI)., ADQUISICIN DE TERRENO, DESVIRTUANDO EL FIN ORIGINAL
9,NO JUSTIFICAR EL FALTANTE,NO JUSTIFICAR EL FALTANTE,NO JUSTIFICAR EL FALTANTE, 76 LATAS DE LECHE," HABER UTILIZADO LA HOJA DE MOVIMIENTOS VARIOS,"
9, SUPUESTA DENUNCIA DE UN CIUDADANO.," $20,000 PESOS", DIRECCIN GENERAL DE NORMAS DE LA SECRETARA, PROBLEMA, SUPUESTA DENUNCIA DE UN CIUDADANO.
8, BAOS DE MUJERES, SECRETARIA DE LA FUNCION PUBLICA, CHIHUAHUA, VIDEOGRABO, SECRETARIA DE LA FUNCION PUBLICA
9,NO CUMPLIO CON LA OBLIGACION, ABSTENERSE HASTA UN AO," 30-ABR-2009,"," EQUIPOS PARA LABORATORIO,", INFORMACION O DOCUMENTACION
17,POR LA NO REALIZACIN DEL ACTO FORMAL, NO REALIZACIN, MORELOS., TESORERA MUNICIPAL, 2009-2012
13,OMITIO,OMITIO PRESENTAR EN TIEMPO, ESTADO DE HIDALGO, DECLARACION PATRIMONIAL, DECLARACION PATRIMONIAL
9," EMPRSTITO DEL ESTADO DE COAHUILA DE ZARAGOZA,", DESTITUCIN," COAHUILA DE ZARAGOZA,", OBTENER ALGUNA VENTAJA, A) Y B)
9,OMITI, DOS MIL DOCE., DOS MIL DOCE., FONDO DE LA VIVIENDA, DOCUMENTACIN E INFORMACIN REQUERIDA
9,SOLICITO LA CANTIDAD DE $123977.00, $5000.00., $5000.00.," SUMINISTRO DE ENERGIA ELECTRICA,", AGILIZAR UN TRAMITE DE CANCELACION
9,OMITI SOLVENTAR,OMITI SOLVENTAR, STE RGANO INTERNO DE CONTROL.," ""FIANZAS SIN APLICAR"",",OMITI SOLVENTAR LA OBSERVACIN NMERO 6
9," PENSIN POR VIUDEZ A FAVOR DE SU SEORA,", PENSIN POR VIUDEZ," 2009,"," $10,000.00,", PENSIN
9,"EL SERVIDOR PBLICO JORGE VILCHIS VEGA,", RGANO INTERNO DE CONTROL EN EL FOVISSSTE., RGANO INTERNO DE CONTROL EN EL FOVISSSTE., REA DE QUEJAS DEL RGANO INTERNO DE CONTROL, DIVERSOS REQUERIMIENTOS
13,NO REALIZAR EN TIEMPO SU DECLARACION PATRIMONIAL,NO REALIZAR EN TIEMPO SU DECLARACION PATRIMONIAL, ESTADO DE HIDALGO,NO REALIZAR EN TIEMPO SU DECLARACION PATRIMONIAL,NO REALIZAR EN TIEMPO SU DECLARACION PATRIMONIAL
9,OMITIO, DAO AL ERARIO PUBLICO., DF," ANALISTA DE RECURSO FINANCIEROS,"," NOMINA,OBTENIENDO BENEFICIOS ADICIONALES"
22,NO PRESENTO EN TIEMPO Y FORMA, 49 FRACCIN IV., QUERTARO, PATRIMONIAL DE CONCLUSIN.,"
ARTCULO Y FRACCIONES INFRINGIDAS:"
9, DIVERSOS VICIOS OCULTOS., DIVERSOS VICIOS OCULTOS., A SATISFACCIN, REPRODUCCIN DOCUMENTAL, DIVERSOS VICIOS OCULTOS.
9,NO PRESENTAR, EXPEDICION DE CHEQUES A SU NOMBRE., CHEQUES A SU NOMBRE., RECURSOS ECONOMICOS, DOCUMENTOS COMPROBATORIOS Y JUSTIFICATIVOS
9,SE LLEVO SU ARMA DE CARGO SIN AUTORIZACION.,SE LLEVO SU ARMA, SIN AUTORIZACION.,SE LLEVO SU ARMA DE CARGO,SE LLEVO SU ARMA DE CARGO SIN AUTORIZACION.
9,CUMPLIO CON DEFICIENCIA EL SERVICIO PUBLICO, EDIFICADO, LUGAR DISTINTO, EDIFICADO, SE ENCONTRABA EDIFICADO EN LUGAR DISTINTO
13,OMITI,OMITI PRESENTAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO.
13,NO CUMPLIR CON SUS FUNCIONES COMO SERVIDOR PUBLICO,NO CUMPLIR CON SUS FUNCIONES COMO SERVIDOR PUBLICO,NO CUMPLIR CON SUS FUNCIONES COMO SERVIDOR PUBLICO,NO CUMPLIR CON SUS FUNCIONES COMO SERVIDOR PUBLICO,NO CUMPLIR CON SUS FUNCIONES COMO SERVIDOR PUBLICO
13,OMITIO,OMITIO PRESENTAR EN TIEMPO, ESTADO DE HIDALGO, DECLARACION PATRIMONIAL, DECLARACION PATRIMONIAL
21," DELINCUENCIA ORGANIZADA,"," (PERMANENTE CONTINUO),", PUEBLA," LOS ZETAS DEL CARTEL DEL GOLFO,", 7 PRRAFO PRIMERO (HIPTESIS DE ACCIN)
14,NO ENTREG A LA ENTONCES SECRETARA DE FINANZAS," $20,000.000.00", INSTITUTO JALISCIENSE DE LA VIVIENDA (IJALVI).," $20,000.000.00", LA EMPRESA SI LOS REINTEGRO.
2,PAGO CON RECURSOS ECONMICOS,PAGO CON RECURSOS ECONMICOS," 2009,", SERVICIO TELEFNICO, EL SERVICIO TELEFNICO
13,"OMISIN EN LA ATENCIN MDICA,"," LA MUERTE FETAL,"," HIDALGO,","OMISIN EN LA ATENCIN MDICA,"," PERDI LA MATRIZ Y UN OVARIO,"
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
9,ALTERO LICENCIA MEDICA,ALTERO LICENCIA MEDICA,ALTERO, LICENCIA MEDICA,ALTERO LICENCIA MEDICA
9, DUEO," $4,000.00", TRNSITO POR CARRETERAS FEDERALES, TRANSPORTISTAS, TRNSITO POR CARRETERAS FEDERALES
13,OMITI,OMITI PRESENTAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO.
17,"CIN PERSONAL CORRESPONDIENTE,", QUINCE DAS HBILES, MORELOS., SERVICIO PUBLICO, UNA SERIE DE MANIFESTACIONES
1,SUSTRACCIN,SUSTRACCIN,SUSTRACCIN,SUSTRACCIN DE BIENES DEL INSTITUTO, UTILIZAR VEHCULO OFICIAL
9,NO HABER COORDINADO LA ELABORACION DE 2 CONTRATOS, IMCUMPLIMIENTO," IMCUMPLIMIENTO DEL PROVEEDOR,"," IMCUMPLIMIENTO DEL PROVEEDOR,", NO INFORMAR OPORTUNAMENTE EL IMCUMPLIMIENTO
9," ABUSO DE SU CARGO,"," ABUSO DE SU CARGO,"," C,", PROMOCIN, NO EXCUSARSE DE INTERVENIR EN DICHA COMISIN
9,INDEBIDAMENTE EJERCIO,INDEBIDAMENTE EJERCIO," SECRETARIA DE LA REFORMA AGRARIA,"," REFORMA AGRARIA,", EXISTIA UN IMPEDIMENTO LEGAL
9, PROMOCION DE SU HIJO Y SOBRINA., PROMOCION DE SU HIJO Y SOBRINA.," CHIHUAHUA,", PROMOCION DE SU HIJO Y SOBRINA., SU HIJO Y SOBRINA.
22, INCUMPLI EN OMITIR CONSUMIR, INCUMPLI, CONSEJO DE HONOR Y JUSTICIA, SUSTANCIAS PSICOTRPICAS,"
ARTCULOS Y FRACCIONES INFRINGIDAS:"
9,"NO SE EXCUSO POR ESCRITO,","NO SE EXCUSO POR ESCRITO,","NO SE EXCUSO POR ESCRITO,", UNIDADES DE RIEGO, QUIEN ES SU HIJO
9,"HABER FIRMADO CONTRATO DE COMPRA VENTA DE MAIZ,","HABER FIRMADO CONTRATO DE COMPRA VENTA DE MAIZ,", PROVEEDOR.," MAIZ,", AUTORIZAR LAS SOLICITUDES DE PAGO
9,FALTANTE," $86,857.58."," SINALOA,"," $86,857.58."," EL 07/10/2015,"
5,SE CAUSO UN DAO  PATRIMONIAL, DAO  PATRIMONIAL," DICHAS UNIDADES YA NO ESTABAN EN ACTIVIDAD,", CONSUMOS DE GASOLINA, UN DAO  PATRIMONIAL
9, PARENTESCO CONSANGUNEO, 11032703E451505.027506020, 2010 16 A 2011 02;, PLAZA DE NUEVA CREACIN ALTA INTERINA LIMITADA, HABER INFORMADO POR ESCRITO A SU JEFE INMEDIATO
17,"DESVO DE FONDOS FEDERALES,","DESVO DE FONDOS FEDERALES,", DEFICIENCIA, SERVICIO ENCOMENDADO,"DESVO DE FONDOS FEDERALES,"
9,OMITIO CUMPLIR EL EJERCICIO PRESUPUESTAL," $68,102.67."," SONORA,", ONCE BAJAS Y ONCE AJUSTES SALARIALES, ONCE BAJAS Y ONCE AJUSTES SALARIALES
9," TOCABA LOS SENOS Y LA VAGINA,", MATAR.,"EJERCI INDEBIDAMENTE EL PUESTO,"," EMPLEO,", S DECA ALGO LA IBA A MATAR.
9,COBRO GASTOS DE VIATICOS,COBRO GASTOS DE VIATICOS, APOCRIFAS.,COBRO GASTOS DE VIATICOS, LA PRESENTACION DE FACTURAS APOCRIFAS.
13,OMITIO,OMITIO PRESENTAR EN TIEMPO, ESTADO DE HIDALGO, DECLARACION PATRIMONIAL, DECLARACION PATRIMONIAL
9," DELITO DE COHECHO,"," $10,000.00,"," CHIHUAHUA,"," ""STARBUCKS"",", PARA EVITAR LAS SUSPENSIN EN PROCESO
17,EJECUTAR BOLETA DE INFRACCIN NMERO 1299,EJECUTAR BOLETA DE INFRACCIN NMERO 1299," MORELOS,", PERSONAL DE TIENDA CARNEMART," IDENTIFICARON NI MOSTRARON LA ORDEN RESPECTIVA,"
2,CONTRATO, DEPSITO VEHICULAR, BAJA CALIFORNIA., LA UNIDAD 628,"
ARTCULO Y FRACCIONES VIOLENTADAS:"
9, DELITO DE CONTRA LA SALUD, CONTRA LA SALUD, PRRAFO," TRANSPORTE DE NARCTICOS,"," FRACCIN III Y 196 FRACCIN I,"
9,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
9,SERVIDORES PUBLICOS, QUITANDOLE SU LICENCIA DE CONDUCIR, VEHICULO., VEHICULO., LICENCIA DE CONDUCIR Y TARJETA DE CIRCULACION
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
9,NO ATENDI CON DILIGENCIA, FONDO DE LA VIVIENDA, ESTADO., FONDO DE LA VIVIENDA,NO ATENDI CON DILIGENCIA LOS REQUERIMIENTOS
26,INCUMPLI, ESTATUS DE LA SANCIN ES FIRME.," ESTADO DE SONORA,"," CONTRATOS,", EL ESTATUS DE LA SANCIN ES FIRME.
9,"SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,"
24,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
9,"EJERCI INDEBIDAMENTE EL CARGO,"," TOC LOS SENOS POR ENCIMA DE SU ROPA,",EJERCI," ROPA,"," TAMBIN LE TOC LOS SENOS Y LAS ""POMPIS"""
13," DELINCUENCIA ORGANIZADA,"," DELINCUENCIA ORGANIZADA,", JUEZ SEGUNDO DE DISTRITO DE PROCESOS PENALES., SALUD, HIPOTESIS DE DELITOS CONTRA LA SALUD AGRAVADA.
9, NICAMENTE," $1,218.04", 5 DE 12 DE MAYO DE 2009., FONDO REVOLVENTE, RELACIN DE GASTOS NMERO 5 DE 12 DE MAYO DE 2009.
9,SERVIDORES PUBLICOS DETENDIOS,SERVIDORES PUBLICOS DETENDIOS,SERVIDORES PUBLICOS DETENDIOS, DINERO, ELEMENTOS DE ASUNTOS INTERNOS
9, NO ERA AUTNTICA., NO ERA AUTNTICA., NO ERA AUTNTICA., NO ERA AUTNTICA., NO ERA AUTNTICA.
2,OBTENCIN,"
ARTCULO Y FRACCIONES VIOLENTADAS:", BAJA CALIFORNIA., CHEQUES PARA SU COBRO.,"
ARTCULO Y FRACCIONES VIOLENTADAS:"
13, NO REALIZAR EN TIEMPO,"
FIRMEZA:", ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., NO REALIZAR EN TIEMPO SU DECLARACIN PATRIMONIAL
9,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION,PRIVACION ILEGAL DE LA LIBERTAD,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS
9,INCURRIO EN UN FALTANTE," $76,759.63.",INCURRIO EN UN FALTANTE," $76,759.63.",INCURRIO EN UN FALTANTE
12, INFRACCIN GRAVE, UN DAO A LA HACIENDA PBLICA, GUERRERO., HACIENDA PBLICA, NO COMPROBACIN DE LOS EGRESOS MUNICIPALES
25,DEPENDENCIA: GOBIERNO DEL ESTADO DE SINALOA, MULTAS., SINALOA, PAGO DE RECURSOS PBLICOS, EL CONSECUENTE PAGO DE RECURSOS PBLICOS
9, FALTANTE," $5,500.00"," COALCOMAN, MICHOACAN,"," $5,500.00"," JEFE DE OFICINA Y OPERADOR TELEGRAFICO,"
9, TENA INTERS PERSONAL," LA PLAZA CON CATEGORA ASOCIADO CT.C.,"," JALISCO,", TENA INTERS PERSONAL, SE ADVIERTE QUE RESULT BENEFICIADO PERSONALMENTE.
9,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION,PRIVACION ILEGAL DE LA LIBERTAD,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS
9,OMISIONES, FIDEICOMISO DE RIESGO COMPARTIDO., UN DAO," APOYOS FEDERALES,", DEFICIENTE SEGUIMIENTO Y SUPERVISIN
2,MANEJO INADECUADO DE RECURSOS ASIGNADOS,MANEJO INADECUADO DE RECURSOS ASIGNADOS," BAJA CALIFORNIA,",MANEJO INADECUADO DE RECURSOS ASIGNADOS, NORMA TECNICA NUMERO UNO
9, C.I. EN DELEGACIN GUSTAVO A. MADERO, C.I. EN DELEGACIN GUSTAVO A. MADERO, C.I. EN DELEGACIN GUSTAVO A. MADERO, C.I. EN DELEGACIN GUSTAVO A. MADERO, C.I. EN DELEGACIN GUSTAVO A. MADERO
9,HABER OBTENIDO BENEFICIOS ADICIONALES,HABER OBTENIDO BENEFICIOS ADICIONALES, EL ESTADO,HABER OBTENIDO BENEFICIOS ADICIONALES,HABER OBTENIDO BENEFICIOS ADICIONALES
1,"EL DA VEINTICUATRO DE NOVIEMBRE DEL DOS MIL ONCE,", IMPEDIDO," DOS MIL ONCE,"," TTULO CORRESPONDIENTE,", TENA ESE NIVEL DE ESTUDIOS
30,INCIDENTE,INCIDENTE,INCIDENTE DURANTE LA REPARACION, REPARACION DE LA GRUA DE CARGA,INCIDENTE DURANTE LA REPARACION
9,OMITIO, 16 CLAVES DE MEDICAMENTOS," DOCUMENTACION COMPROBATORIA CORRESPONDIENTE,", MATERIALES TERAPEUTICOS, 16 CLAVES DE MEDICAMENTOS
9,REALIZO MODIFICACIONES,REALIZO MODIFICACIONES," ESTADO DE INVENTARIO,"," FARMACIA,",REALIZO MODIFICACIONES
15,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
23,ELABORAR LAS COPIAS DE 855 RECIBOS OFICIALES, DAO ECONOMICO," CHETUMAL,"," $448,540.80"," MONTOS INFERIORES A LOS REALMENTE COBRADOS,"
9," MDICO,"," $16,000.00,", NORTE DEL DISTRITO FEDERAL, SOLICITNDOLE PARA ELLO DIVERSA DOCUMENTACIN, DIVERSA DOCUMENTACIN
21, OMITI, OBLIGADO DENTRO DEL TRMINO ESTABLECIDO., TRMINO ESTABLECIDO., ENTREGA DE LA INFORMACIN," DISCIPLINA Y RESPETO,"
9,RETIRO INDEBIDAMENTE DE SU CUENTA BANCARIA PERSONAL,RETIRO INDEBIDAMENTE DE SU CUENTA BANCARIA PERSONAL, 2011., RECURSOS PUBLICOS FEDERALES,RETIRO INDEBIDAMENTE DE SU CUENTA BANCARIA PERSONAL
9,NO RESTITUYO LOS RECURSOS PAGADOS NO DEVENGADOS,NO RESTITUYO,NO RESTITUYO, SALARIOS,NO RESTITUYO LOS RECURSOS PAGADOS NO DEVENGADOS
2, REALIZAR PAGO INDEBIDO," $333,250.00", BAJA CALIFORNIA., COBRO DE BOLETOS DE ESTACIONAMIENTO,"
ARTCULO Y FRACCIONES VIOLENTADAS:"
9,HABER PRETENDIDO," $15,000.00 (QUINCE MIL PESOS 00/100 M.N.),"," $15,000.00", PRESTAR SUS SERVICIOS, DIVERSA DOCUMENTACIN
15,NO SE JUSTIFIC," PENAS CONVENCIONALES,"," RESCICIN ADMINISTRATIVA A LA EMPRESA CONTRATISTA,"," CONTRATOS DE OBRA PBLICA,"," NO SE EXIGIERON LAS PENAS CONVENCIONALES,"
9,"ABUSO DEL CARGO,","ABUSO DEL CARGO,"," DESCONOCIDA POR EL ISSSTE,","ABUSO DEL CARGO,","ABUSO DEL CARGO,"
9, INCURRIO EN UN FALTANTE," $553,275.94"," DURANGO,"," $553,275.94", TELEGRFICA
21,OMISIN, HIDROCARBURO, PUEBLA., HIDROCARBURO,OMISIN Y COMISIN
21,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
9,INDEBIDAMENTE OMITIO INGRESAR," $33,249.00,",INDEBIDAMENTE OMITIO INGRESAR, PAGO POR CONCEPTO DE SERVICIO DE TELEFONIA,INDEBIDAMENTE OMITIO INGRESAR
17, SIN CUMPLIR CON LOS LINEAMIENTOS LEGALES, EJECUTORIA, MORELOS," PAGO Y EL PAGO A PROVEEDORES,"," AUTORIZACION DE PAGO Y EL PAGO A PROVEEDORES,"
16," CADVER DE SEXO MASCULINO NO IDENTIFICADO,"," PENAL,", MICHOACN., MUESTRA HEMTICA, NOMBRE E IDENTIFICACIN.
16,NO CUMPLI CON LA LEGALIDAD Y RESPONSABILIDAD," DECLARACIN DE SITUACIN PATRIMONIAL INICIAL,", MICHOACAN., DECLARACIN DE SITUACIN PATRIMONIAL," DECLARACIN DE SITUACIN PATRIMONIAL INICIAL,"
1,PECULADO,PECULADO Y EJERCICIO INDEBIDO, ESTADO DE AGUASCALIENTES, SERVICIO PBLICO.,"
ARTCULO Y FRACCIONES VIOLENTADAS:"
9,HABERSE CONDUCIDO CON FALTA DE PROBIDAD, DEJ DE ASISTIR Y PRESTAR EL SERVICIO PBLICO, PBLICO ENCOMENDADO., ASISTIR Y PRESTAR EL SERVICIO PBLICO ENCOMENDADO.," LICENCIA(S) MEDICA(S),"
9," $5,000.00"," $5,000.00", RESOLUCIN NOTIFICADA;," $5,000.00", NO SE EXISTEN LOS DOCUMENTOS Y/O PAPELES
9, 2009.," UNA CAUSA LEGAL QUE SE LO IMPIDE,", DISTRITO FEDERAL.," SERVIDOR PBLICO,", DECLARACION INICIAL DE SITUACION PATRIMONIAL
9,OBTUVO BENEFICIOS ADICIONALES,OBTUVO BENEFICIOS ADICIONALES, ESTADO LE OTORGA, CONTRAPRESTACIONES COMPROBABLES QUE EL ESTADO LE OTORGA, CONTRAPRESTACIONES
9,IRREGULARIDADES, DAO AL ERARIO FEDERAL., BAJIO, ERARIO FEDERAL.," FALTA DE REINTEGROS A LAS FUENTES FINANCIADORAS,"
9, FALTANTE," $219,943.16,"," CHIAPAS,"," $219,943.16,", SE LE DETECT
9,"EL 1 DE MARZO DE 2010,"," SIN ESTAR CONTRATADO COMO PROMOTOR SOCIAL,","EL 1 DE MARZO DE 2010,"," PROMOTOR SOCIAL,"," UNA ENCUESTA SOCIOECONMICA DE INCORPORACIN,"
2,USO INDEBIDO,"
FRACCIONES VIOLENTADAS:", BAJA CALIFORNIA.,USO INDEBIDO DE VEHCULO,USO INDEBIDO DE VEHCULO
9,NEGLIGENCIA ADMINISTRATIVA,NEGLIGENCIA ADMINISTRATIVA,NEGLIGENCIA ADMINISTRATIVA,NEGLIGENCIA ADMINISTRATIVA,NEGLIGENCIA ADMINISTRATIVA
9,"EL 07 DE OCTUBRE DE 2013,"," $4,863.65"," ADSCRIPCION,"," $4,863.65", SUMA QUE REINTEGRO AL ORGANISMO
13,OMITIO,OMITIO PRESENTAR EN TIEMPO, ESTADO DE HIDALGO, DECLARACION PATRIMONIAL, DECLARACION PATRIMONIAL
9,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION,PRIVACION ILEGAL DE LA LIBERTAD,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS
9,"EMITIR 167 CERTIFICADOS  MEDICOS  DE INCAPACIDAD,","EMITIR 167 CERTIFICADOS  MEDICOS  DE INCAPACIDAD,", SIN QUE EXISTA  EVIDENCIA,"EMITIR 167 CERTIFICADOS  MEDICOS  DE INCAPACIDAD,", LOS TRABAJADORES  HAYAN  SIDO  EVALUADOS  CLINICAMENTE
9,NO SE ABSTUVO, DESAPARECER UN EXPEDIENTE DE BAJA.,NO SE ABSTUVO, EXPEDIENTE DE BAJA., DESAPARECER UN EXPEDIENTE DE BAJA.
9,HABER CELEBRADO  17 CONTRATOS DE PRESTACIN," DAO PATRIMONIAL POR $734,400.00."," 2004,"," CONTRATOS DE PRESTACIN DE SERVICIOS PROFESIONALES,"," 17 CONTRATOS DE PRESTACIN DE SERVICIOS PROFESIONALES,"
9,PRETENDER OBTENER BENEFICIOS ADICIONALES," $22,000.00", ESTADO," EMPLEO, CARGO O COMISION,"," CARGO O COMISION,"
9,HABER CELEBRADO 17 CONTRATOS DE PRESTACION," DAO PATRIMONIAL POR $734,400.00."," 2004,"," CONTRATOS DE PRESTACION DE SERVICIOS PROFESIONALES,"," 17 CONTRATOS DE PRESTACION DE SERVICIOS PROFESIONALES,"
30,PRESUNTAMENTE NO SE ABSTUVO EN INTERVENIR,PRESUNTAMENTE NO SE ABSTUVO EN INTERVENIR, LA FIRMA DE CONFORMIDAD EN DIVERSAS DOCUMENTACION, BENEFICIO, VARIOS DE LOS CONTRATOS ADJUDICADOS
21, NO REALIZAR LAS VISITAS DE SUPERVISIN Y CONTROL, NO REALIZAR LAS VISITAS DE SUPERVISIN Y CONTROL, PUEBLA," RECURSO DEL EJERCICIO 2012,", VALIDAR Y FIRMAR EL ACTA FINIQUITO
9," TREINTA PESOS 00/100 M.N.).,", SANCIN ADMINISTRATIVA, SE NIEGA," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO,"," CONTRAVENDRAN DISPOSICIONES DE ORDEN PBLICO,"
9, PRESUNTAS CONDUCTAS IRREGULARES," DOS MIL ONCE,", NO FUE POSIBLE SU VALIDACION, NO SE PRESENTO A LABORAR, PRESUNTAS CONDUCTAS IRREGULARES
9, TENA INTERS PERSONAL, BENEFICIADO PERSONALMENTE.," JALISCO,", TENA INTERS PERSONAL, TENA INTERS PERSONAL
22, VIOLACIN LEYES, VIOLACIN LEYES," EL MARQUS, QUERTARO.", HACIENDA PBLICA MUNICIPAL., VIOLACIN LEYES Y NORMATIVIDAD PRESUPUESTAL.
9,OBTUVO, UN BENEFICIO ADICIONAL, COMISIN, COMISIN FEDERAL DE ELECTRICIDAD, CONTRAPRESTACIONES COMPROBABLES
21,DE LA REVISION AL CONTROL LEGISLATIVO," $127470,688.06"," SIN COMPROBAR, NI JUSTIFICAR"," $127470,688.06"," SIN COMPROBAR, NI JUSTIFICAR"
9, EL TRAMITE PARA LA PROMOCION, EL TRAMITE PARA LA PROMOCION, JALISCO, TRAMITE PARA LA PROMOCION, NO SE ABSTUVO DE INTERVENIR Y/O PARTICIPAR
14,INCUMPLIMIENTO OBLIGACIONES,INCUMPLIMIENTO OBLIGACIONES, JALISCO, INDUSTRIA JALISCIENSE DE REHABILITACION SOCIAL,INCUMPLIMIENTO OBLIGACIONES FRACCIONES I Y VIII
17," ABUSO DE SU CARGO,"," DIEZ AOS,"," R.A. 09/2010,"," COORDINADOR MEDICO,"," ABUSO DE SU CARGO,"
9,SUSCRIPCIN DE DOCUMENTOS SIN FACULTADES.,SUSCRIPCIN DE DOCUMENTOS SIN FACULTADES., ESTADO,SUSCRIPCIN DE DOCUMENTOS SIN FACULTADES.,"
MANEJO INDEBIDO DE LA DOCUMENTACIN"
26,HECHOS ILCITOS,HECHOS ILCITOS, ADMINISTRACIN MUNICIPAL Y PRESUPUESTAL., PRESUPUESTAL.,HECHOS ILCITOS
13,OMITIO,OMITIO PRESENTAR EN TIEMPO, ESTADO DE HIDALGO, DECLARACION PATRIMONIAL, DECLARACION PATRIMONIAL
13,OMITIO,OMITIO PRESENTAR EN TIEMPO, ESTADO DE HIDALGO, DECLARACION PATRIMONIAL, DECLARACION PATRIMONIAL
30,PRESUNTAMENTE NO CUMPLIR, POLIDUCTO 8,PRESUNTAMENTE NO CUMPLIR CON EL SERVICIO," PROBADOR ANALITICO,",PRESUNTAMENTE NO CUMPLIR CON EL SERVICIO
13, REPO CON SOBRE GIRO.," $39, 886, 056.05,", ESTADO DE HIDALGO," $39, 886, 056.05,"," CARPETA OBSERVACIONES FINANCIERAS,"
29,"
FIRMEZA:", INHABILITACIN POR EL TRMINO DE DOS AOS, TLAXCALA.," SERVIDORES PBLICOS,", INCUMPLIERON
